City,Conviction,Month
Agoura Hills,Accusation,1
Agoura Hills,First Amended Accusation,1
"Albuquerque, NM",Surrendered,1
Aliso Viejo,Decision,1
Altadena ,Decision,1
Anaheim ,Accusation,1
Anaheim ,Decision,1
Anaheim ,Public Reprimand,1
Antioch,Interim Suspension Order,1
Antioch,Surrendered,1
Apple Valley,Decision,1
Apple Valley,First Amended Accusation,1
Aptos,Decision,1
Arcadia,Accusation,1
Arcadia,Public Letter of Reprimand,1
"Arcadia, MI",Accusation,1
"Arcadia, MI",Revoked,1
Arcata,Public Reprimand,1
"Asheville, NC",First Amended Accusation,1
"Asheville, NC",Surrendered,1
Atherton,First Amended Accusation,1
Atherton,Revoked,1
Auburn,Accusation,1
Auburn,First Amended Accusation,1
"Aurora, CO",Public Reprimand,1
"Austin, TX",First Amended Accusation,1
Bakersfield,Accusation,2
Bakersfield,Decision,1
Bakersfield,First Amended Accusation,1
Bakersfield,Public Reprimand,2
Bakersfield,Surrendered,1
Banning,Accusation,1
Banning,Decision,1
Barstow,First Amended Accusation,1
"Baton Rouge, LA",First Amended Accusation,1
"Bayfield, CO",First Amended Accusation,1
"Beachwood, OH",Public Letter of Reprimand,1
"Belfair, WA",Surrendered,1
Berkeley,Accusation,1
Berkeley,First Amended Accusation,2
Berkeley,Public Letter of Reprimand,1
Berkeley,Second Amended Accusation,1
Berkeley,Surrendered,1
Beverly Hills,Accusation,2
Beverly Hills,Decision,3
Beverly Hills,First Amended Accusation,5
Beverly Hills,First Amended Accusation ,1
Beverly Hills,Public Letter of Reprimand,1
Beverly Hills,Second Amended Accusation,1
Beverly Hills,Surrendered,1
Bismarck,Accusation,1
Blythe,Accusation,1
Blythe,First Amended Accusation,1
Blythe,Public Letter of Reprimand,1
Blythe,Surrendered,1
Bonita,First Amended Accusation,1
"Boynton Beach, FL",First Amended Accusation,1
"Boynton, FL",Surrendered,1
Brea,First Amended Accusation,1
"Brookings, OR",First Amended Accusation,1
"Brookings, OR",Revoked,1
Buellton,Cease Practice Order,1
Buellton,Decision,1
Burbank,Decision,1
Burbank,First Amended Accusation,1
Burlingame,Accusation,5
Burlingame,Accusation Dismissed,1
Burlingame,Public Reprimand,1
Burney,Decision,1
Calabasas,Public Letter of Reprimand,1
Calabasas ,Decision,1
Calabasas ,First Amended Accusation ,1
Calabasas ,Revoked,1
Camarillo,Accusation Withdrawn,1
Camarillo,First Amended Accusation,1
Capistrano Beach,Accusation and Petition to Revoke Probation,1
Capistrano Beach,Decision,1
"Carlisle, MA",Accusation,1
Carmel,Decision,1
Carmichael,Accusation,1
Carmichael,Cease Practice Order,1
Carmichael,Full Interim Suspension Order,1
Carmichael,Petition to Revoke Probation,1
Carson,First Amended Accusation,1
Carson,Surrendered,1
Castro Valley,Accusation,1
Cerritos,Revoked,1
Chatsworth,Public Reprimand,1
"Chattanooga, TN",Revoked,1
Chester,Decision,1
Chester,First Amended Accusation,1
"Chicago, IL",Petition to Revoke Probation,1
"Chicago, IL",Surrendered,1
Chico,Accusation,1
Chico,Decision,2
Chico,Surrendered,1
Chino Hills,Accusation,1
Chino Hills,Decision,1
Chula Vista,Accusation,1
Chula Vista,Cease Practice Order,1
Chula Vista,Decision,3
Chula Vista,Petition to Revoke Probation,1
Chula Vista,Public Reprimand,1
Chula Vista,Surrendered,2
"Cincinnati, OH",Decision,1
"Cincinnati, OH",First Amended Accusation,1
