,Date,Disciplinary Action,Conviction,_merge
0,2022-03-11,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
1,2022-03-24,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
2,2022-02-18,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
3,2022-01-04,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
4,2022-06-28,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
5,2022-03-09,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
6,2022-06-15,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
7,2022-04-14,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
8,2022-04-04,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
9,2022-08-17,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
10,2022-12-08,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
11,2022-06-29,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
12,2022-08-18,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
13,2022-12-08,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
14,2022-08-30,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
15,2022-04-19,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
16,2022-08-22,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
17,2022-09-21,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
18,2022-10-25,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
19,2022-11-30,ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,,left_only
20,2022-08-12,AMENDED ACCUSATION FILED. THE PHYSICIAN HAS NOT HAD A HEARING OR BEEN FOUND GUILTY OF ANY CHARGES.,ACCUSATION FILED,both
21,2022-12-09,"AUTOMATIC SUSPENSION ORDER ISSUED-NO PRACTICE, BY OPERATION OF LAW, THE EFFECTIVE DATE OF THE ORDER IS 12/09/2022.",AUTOMATIC SUSPENSION,both
