,COUNTY,CITY,County_FIP,Conviction,Month
1,Los Angeles,Agoura Hills,06037,Accusation,03
2,Los Angeles,Agoura Hills,06037,First Amended Accusation,08
7,Orange,Aliso Viejo,06059,Decision,02
18,Contra Costa,Antioch,06013,Interim Suspension Order,03
19,Contra Costa,Antioch,06013,Surrendered,10
20,San Bernardino,Apple Valley,06071,First Amended Accusation,03
21,San Bernardino,Apple Valley,06071,Decision,10
23,Los Angeles,Arcadia,06037,Public Letter of Reprimand,02
24,Los Angeles,Arcadia,06037,Accusation,08
27,Humboldt,Arcata,06023,Public Reprimand,05
34,San Mateo,Atherton,06081,First Amended Accusation,03
35,San Mateo,Atherton,06081,Revoked,08
37,Placer,Auburn,06061,First Amended Accusation,03
38,Placer,Auburn,06061,Accusation,07
44,Kern,Bakersfield,06029,Public Reprimand,01
45,Kern,Bakersfield,06029,Surrendered,06
46,Kern,Bakersfield,06029,Decision,07
47,Kern,Bakersfield,06029,Accusation,04
48,Kern,Bakersfield,06029,Accusation,09
49,Kern,Bakersfield,06029,Public Reprimand,09
51,Riverside,Banning,06065,Accusation,05
52,Riverside,Banning,06065,Decision,11
53,San Bernardino,Barstow,06071,First Amended Accusation,05
65,Alameda,Berkeley,06001,Surrendered,03
66,Alameda,Berkeley,06001,First Amended Accusation,03
67,Alameda,Berkeley,06001,Accusation,08
68,Alameda,Berkeley,06001,Second Amended Accusation,08
69,Alameda,Berkeley,06001,Public Letter of Reprimand,12
70,Los Angeles,Beverly Hills,06037,First Amended Accusation,01
71,Los Angeles,Beverly Hills,06037,Decision,01
72,Los Angeles,Beverly Hills,06037,First Amended Accusation,01
73,Los Angeles,Beverly Hills,06037,Surrendered,02
74,Los Angeles,Beverly Hills,06037,Public Letter of Reprimand,03
75,Los Angeles,Beverly Hills,06037,First Amended Accusation,02
76,Los Angeles,Beverly Hills,06037,First Amended Accusation ,02
77,Los Angeles,Beverly Hills,06037,Accusation,02
78,Los Angeles,Beverly Hills,06037,Accusation,03
79,Los Angeles,Beverly Hills,06037,Second Amended Accusation,03
80,Los Angeles,Beverly Hills,06037,First Amended Accusation,04
81,Los Angeles,Beverly Hills,06037,First Amended Accusation,08
82,Los Angeles,Beverly Hills,06037,Decision,09
83,Los Angeles,Beverly Hills,06037,Decision,10
89,Riverside,Blythe,06065,Public Letter of Reprimand,01
90,Riverside,Blythe,06065,First Amended Accusation,03
91,Riverside,Blythe,06065,Surrendered,09
92,Riverside,Blythe,06065,Accusation,09
96,Orange,Brea,06059,First Amended Accusation,04
101,Santa Barbara,Buellton,06083,Decision,01
102,Santa Barbara,Buellton,06083,Cease Practice Order,03
