Fiscal Year,Year,Quarter,Month,Date,DCA Entity,License Type Code,License Type,Transaction Code,Application Type,Target Cycle Time Complete Applications,Volume Complete Applications,Cycle Time Complete Applications,Volume Incomplete Applications,Cycle Time Incomplete Applications,Volume Renewal Applications,Cycle Time Renewal Applications,Comment,Website
6/30/2022,2022,Q2,December,12/31/2021,Acupuncture Board,N/A,Licensed Acupuncturist,N/A,Initial License Application,9,27,3,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,Acupuncture Board,N/A,Licensed Acupuncturist,N/A,Renewal Application,0,0,0,0,0,479,3,,
6/30/2022,2022,Q2,November,11/30/2021,Acupuncture Board,N/A,Licensed Acupuncturist,N/A,Initial License Application,9,20,3,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,Acupuncture Board,N/A,Licensed Acupuncturist,N/A,Renewal Application,0,0,0,0,0,375,3,,
6/30/2022,2022,Q2,October,10/31/2021,Acupuncture Board,N/A,Licensed Acupuncturist,N/A,Initial License Application,9,27,3,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,Acupuncture Board,N/A,Licensed Acupuncturist,N/A,Renewal Application,0,0,0,0,0,418,3,,
6/30/2022,2022,Q2,December,12/31/2021,Acupuncture Board,N/A,Wall License,N/A,Wall License Application,9,209,3,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,Acupuncture Board,N/A,Wall License,N/A,Renewal Application,0,0,0,0,0,8,3,,
6/30/2022,2022,Q2,November,11/30/2021,Acupuncture Board,N/A,Wall License,N/A,Wall License Application,9,141,3,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,Acupuncture Board,N/A,Wall License,N/A,Renewal Application,0,0,0,0,0,4,3,,
6/30/2022,2022,Q2,October,10/31/2021,Acupuncture Board,N/A,Wall License,N/A,Wall License Application,9,250,3,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,Acupuncture Board,N/A,Wall License,N/A,Renewal Application,0,0,0,0,0,2,3,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Agricultural Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",AG,Agricultural Engineer,N/A,Renewal Application,0,0,0,0,0,6,3.83333,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Agricultural Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",AG,Agricultural Engineer,N/A,Renewal Application,0,0,0,0,0,8,2.25,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Agricultural Engineer,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",AG,Agricultural Engineer,N/A,Renewal Application,0,0,0,0,0,1,7,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Certified Engineering Geologist,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Certified Engineering Geologist,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Certified Engineering Geologist,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Certified Hydrogeologist,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Certified Hydrogeologist,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Certified Hydrogeologist,N/A,Initial License Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,"Board for Professional Engineers, Land Surveyors, and Geologists",N/A,Chemical Engineer,N/A,Initial License Application,60,2,133,2,72,0,0,,
